Date,r_price,Event,Positive Event,Negative Event
2018-12-18,0.08607387553080977,0,0,0
2018-12-19,0.04177043927012981,0,0,0
2018-12-20,0.008708544448793109,0,0,0
2018-12-21,0.09742099751716961,0,0,0
2018-12-22,-0.05534486624308471,0,0,0
2018-12-23,0.02929459485182312,0,0,0
2018-12-24,-0.004796159124086538,0,0,0
2018-12-25,0.02018563552145735,0,0,0
2018-12-26,-0.06757643846800082,0,0,0
2018-12-27,0.005950229724161395,0,0,0
2018-12-28,-0.05263824959399278,0,0,0
2018-12-29,0.07170841617217004,0,0,0
2018-12-30,-0.01997472457209729,0,0,0
2018-12-31,0.008311753757372248,0,0,0
2019-01-01,-0.031245571591203,0,0,0
2019-01-02,0.02717823558163604,0,0,0
2019-01-03,0.02032511797191042,0,0,0
2019-01-04,-0.02501114898356676,0,0,0
2019-01-05,0.01020644371585833,0,0,0
2019-01-06,-0.007355493467363019,0,0,0
2019-01-07,0.05801324574993048,0,0,0
2019-01-08,-0.00596048523733162,0,0,0
2019-01-09,-0.004037915332193633,0,0,0
2019-01-10,0.002170653587259277,0,0,0
2019-01-11,-0.09430456758099942,0,0,0
2019-01-12,0.00248090333714742,0,0,0
2019-01-13,-0.009517870351865914,0,0,0
2019-01-14,-0.02892791215858462,0,0,0
2019-01-15,0.04262081755445176,0,0,0
2019-01-16,-0.02224280053941078,0,0,0
2019-01-17,0.008330602741830284,0,0,0
2019-01-18,0.00646495071736588,0,0,0
2019-01-19,-0.006424389353803467,0,0,0
2019-01-20,0.02112014721799053,0,0,0
2019-01-21,-0.03754928033996381,0,0,0
2019-01-22,-0.002309237229063313,0,0,0
2019-01-23,0.01133810751523813,0,0,0
2019-01-24,-0.004368458706573089,0,0,0
2019-01-25,0.002792172751602273,0,0,0
2019-01-26,-0.0002298833458101966,0,0,0
2019-01-27,-0.0003388831821439422,0,0,0
2019-01-28,-0.002948792685888891,0,0,0
2019-01-29,-0.03462054382009615,0,0,0
2019-01-30,-0.005504340590109048,0,0,0
2019-01-31,0.01295477117057769,0,0,0
2019-02-01,-0.007529691688727433,0,0,0
2019-02-02,0.009438719297287014,0,0,0
2019-02-03,0.006356298374036922,0,0,0
2019-02-04,-0.009381314643322047,0,0,0
2019-02-05,0.002884541665136121,0,0,0
2019-02-06,0.001699237421062541,0,0,0
2019-02-07,-0.01863355743641319,0,0,0
2019-02-08,-0.003477199519741688,0,0,0
2019-02-09,0.07661895281660873,0,0,0
2019-02-10,0.0008527806451073277,0,0,0
2019-02-11,0.002256095782028759,0,0,0
2019-02-12,-0.01211079941208547,0,0,0
2019-02-13,0.0006938375840441425,0,0,0
2019-02-14,-0.006599329178872658,0,0,0
2019-02-15,-0.005667022164462719,0,0,0
2019-02-16,0.003217229051064276,0,0,0
2019-02-17,0.005914466709878624,0,0,0
2019-02-18,0.01165924785457285,0,0,0
2019-02-19,0.05866526347220716,0,0,0
2019-02-20,0.0073036691059651,0,0,0
2019-02-21,0.01566183903657397,0,0,0
2019-02-22,-0.01061620598064751,0,0,0
2019-02-23,0.009819374648936913,0,0,0
2019-02-24,0.03503806739719034,0,0,0
2019-02-25,-0.09486853607801168,1,0,1
2019-02-26,0.02162330445415532,0,0,0
2019-02-27,-0.004053960452888064,0,0,0
2019-02-28,0.001093622742570654,0,0,0
2019-03-01,0.0005845379329536684,0,0,0
2019-03-02,3.835027259001127e-05,0,0,0
2019-03-03,0.001019407277890169,0,0,0
2019-03-04,-0.003328211389767261,0,0,0
2019-03-05,-0.02503980207368509,0,0,0
2019-03-06,0.03692267351598038,0,0,0
2019-03-07,0.002087158898113552,0,0,0
2019-03-08,0.00287798248307528,0,0,0
2019-03-09,-0.002523546869897437,0,0,0
2019-03-10,0.02043302160376967,0,0,0
2019-03-11,-0.004587602690308974,0,0,0
2019-03-12,-0.01623910718913396,0,0,0
2019-03-13,0.004167501431303727,0,0,0
2019-03-14,-0.00275449897642555,0,0,0
2019-03-15,0.002810696637437681,0,0,0
2019-03-16,0.01249974648455581,0,0,0
2019-03-17,0.02073618259032564,0,0,0
2019-03-18,-0.00668931369657313,0,0,0
2019-03-19,0.00143499189188645,0,0,0
2019-03-20,0.006717305734266389,0,0,0
2019-03-21,0.0079402502360374,0,0,0
2019-03-22,-0.01550802082859836,0,0,0
