Date,Positive Event Days Elapsed,Probability,Distribution,Parameters
2013-09-24,78,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-25,79,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-26,80,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-27,81,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-28,82,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-29,83,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-09-30,84,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-01,85,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-02,86,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-03,87,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-04,88,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-05,89,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-06,90,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-07,91,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-08,92,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-09,93,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-10,94,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-11,95,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-12,96,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-13,97,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-14,98,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-15,99,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-16,100,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-17,101,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-18,102,1.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-19,103,0.0,exponpow,"{'b': 1.0007881228370903, 'loc': 67.99999999999999, 'scale': 4.8455573004946005e-14}"
2013-10-20,1,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-21,2,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-22,3,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-23,4,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-24,5,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-25,6,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-26,7,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-27,8,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-28,9,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-29,10,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-30,11,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-10-31,12,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-01,13,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-02,14,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-03,15,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-04,16,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-05,17,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-06,18,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-07,19,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-08,20,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-09,21,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-10,22,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-11,23,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-12,24,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-13,25,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-14,26,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-15,27,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-16,28,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-17,29,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
2013-11-18,30,0.0,exponpow,"{'b': 0.16045121627457473, 'loc': 67.99999999999999, 'scale': 43.900141313947096}"
