Date,price,market_cap,total_volume,r_price,d_r_price,Event,Positive Event,Negative Event,Positive Event Days Elapsed
2022-11-10,15742.4443359614,301963847693.526,74978675390.5927,-0.164774983460982,-0.06072840228555397,1,0,1,5
2022-11-11,17594.9235002782,336597208099.666,65200666543.3646,0.1112498974877507,0.2760248809487327,0,0,0,6
2022-11-12,17080.215260565,325921112619.09,45030331310.7498,-0.02968963159523924,-0.14093952908299,0,0,0,7
2022-11-13,16797.98748257,322330608513.162,21893997140.8604,-0.01666170482925441,0.01302792676598483,0,0,0,8
2022-11-14,16344.342316001,313605586517.285,20411619109.0078,-0.02737728478883267,-0.01071557995957826,0,0,0,9
2022-11-15,16645.8285002835,320598982524.902,37539226046.1062,0.01827784277192436,0.04565512756075703,0,0,0,10
2022-11-16,16890.5293838646,324608360619.004,28676275678.9418,0.01459342885131119,-0.003684413920613175,0,0,0,11
2022-11-17,16689.3967327377,320099234744.272,26922027947.4089,-0.01197948177538143,-0.02657291062669261,0,0,0,12
2022-11-18,16718.361228055,321287480849.766,22011291267.3561,0.001733998588514187,0.01371348036389562,0,0,0,13
2022-11-19,16707.0227789865,320876918352.44,20942172141.4146,-0.0006784334624853185,-0.002412432050999505,0,0,0,14
2022-11-20,16712.7295257948,321151208473.758,10844466289.9011,0.0003415193991699084,0.001019952861655227,0,0,0,15
2022-11-21,16304.0768556235,313370674122.384,15680401749.9584,-0.02475548573215088,-0.02509700513132079,0,0,0,16
2022-11-22,15814.3352808552,303834128504.159,31057277097.3478,-0.03049836543627727,-0.005742879704126385,0,0,0,17
2022-11-23,16171.628978315,311463297390.488,25091849198.571,0.02234158434384912,0.05283994978012639,0,0,0,18
2022-11-24,16608.0099854435,319494112507.074,26858079944.17,0.02662669893731392,0.004285114593464798,0,0,0,19
2022-11-25,16596.0357584726,318949911014.537,20949512927.3869,-0.0007212511139356548,-0.02734795005124958,0,0,0,20
2022-11-26,16524.4490077208,317919884011.382,18933018587.7662,-0.004322814882328368,-0.003601563768392713,0,0,0,21
2022-11-27,16456.1560624966,316206865319.883,18243019109.7532,-0.004141406301543821,0.0001814085807845464,0,0,0,22
2022-11-28,16459.1495437558,316487666895.44,16551822516.1854,0.000181889927030392,0.004323296228574213,0,0,0,23
2022-11-29,16222.2107287312,311810991501.448,24566056814.2122,-0.01450018998651053,-0.01468207991354092,0,0,0,24
2022-11-30,16441.9799784191,316170903326.022,24663035431.352,0.01345648315062628,0.02795667313713681,0,0,0,25
2022-12-01,17186.5025720661,330763402606.704,30676053555.3233,0.04428652255253784,0.03083003940191156,0,0,0,26
2022-12-02,16972.7340607745,326141917292.637,23319572025.3639,-0.01251616388442417,-0.05680268643696201,0,0,0,27
2022-12-03,17084.8733404706,328178365692.13,20945433171.6152,0.006585294358952826,0.019101458243377,0,0,0,28
2022-12-04,16923.3828700803,326498242602.63,16931408153.9501,-0.009497204632717152,-0.01608249899166998,0,0,0,29
2022-12-05,17149.9317509629,329544949093.666,18214353301.1376,0.01329792665436909,0.02279513128708624,0,0,0,30
2022-12-06,16973.3725775534,326635737516.317,23204017213.9296,-0.01034839693954325,-0.02364632359391234,0,0,0,31
2022-12-07,17085.6431412514,328108161816.872,21026126511.1988,0.006592731350172076,0.01694112828971533,0,0,0,32
2022-12-08,16851.3034686318,324178677956.783,21192130005.6036,-0.01381051748367996,-0.02040324883385203,0,0,0,33
2022-12-09,17235.0141579921,331389860355.59,22674029585.2538,0.02251501044068763,0.03632552792436758,0,0,0,34
2022-12-10,17149.8242039253,329756788298.658,23179829829.1701,-0.00495509837654647,-0.0274701088172341,0,0,0,35
2022-12-11,17125.3649276889,329283186564.515,14234368489.8442,-0.001427229492120674,0.003527868884425796,0,0,0,36
2022-12-12,17101.0380197329,328868814164.99,15681124918.7381,-0.001421528992685017,5.700499435656869e-06,0,0,0,37
2022-12-13,17179.5960382034,330715694645.243,21633829199.4891,0.004583238212803731,0.006004767205488748,0,0,0,38
2022-12-14,17784.1628940532,342102502914.689,28941242217.5917,0.03458593341715692,0.03000269520435319,0,0,0,39
2022-12-15,17808.7161726588,342692750075.406,27267536668.8114,0.001379673864221116,-0.0332062595529358,0,0,0,40
2022-12-16,17338.3581266326,333854506370.736,22754686787.8171,-0.02676673024492057,-0.02814640410914169,0,0,0,41
2022-12-17,16623.7578261443,318992400741.965,22250411214.7732,-0.04208841329784099,-0.01532168305292042,1,0,1,42
2022-12-18,16806.4855920615,323096167353.6,15086383815.7761,0.01093199253265965,0.05302040583050065,0,0,0,43
2022-12-19,16742.816663834,322740705484.672,11134054723.1474,-0.003795548663123029,-0.01472754119578268,0,0,0,44
2022-12-20,16422.5622732792,316270478163.654,17719672544.8918,-0.01931317266947737,-0.01551762400635434,0,0,0,45
2022-12-21,16899.3319690467,325120443529.518,24938219697.886,0.02861795496287905,0.04793112763235642,0,0,0,46
2022-12-22,16816.8537011899,323127932459.19,16062767787.358,-0.004892512645691636,-0.03351046760857069,0,0,0,47
2022-12-23,16824.7901624415,323519254392.674,17847826941.681,0.0004718236380483668,0.005364336283740003,0,0,0,48
2022-12-24,16791.4554391649,323013370317.242,16765392449.9508,-0.001983251467038052,-0.002455075105086419,0,0,0,49
2022-12-25,16848.5687083234,324072643385.912,10169853734.1174,0.003395557849990333,0.005378809317028386,0,0,0,50
2022-12-26,16842.1770399055,323868581953.115,12574453968.758,-0.0003794317016518441,-0.003774989551642178,0,0,0,51
2022-12-27,16900.081871938,325036912914.669,12574997282.0392,0.003432188048026443,0.003811619749678287,0,0,0,52
2022-12-28,16701.8402106679,321351469136.862,17436062121.5136,-0.01179956080311449,-0.01523174885114094,0,0,0,53
